cliente_id;nome;email;idade;cidade;UF;sexo;data_cadastro
97;Isabelly Santos;ferreirayago@yahoo.com.br;48;Niteroi;RJ;Feminino;01/04/2021
98;Bianca Viana;mendessophia@bol.com.br;41;Florianopolis;SC;Feminino;25/12/2021
99;Pietro Oliveira;raquel90@das.br;19;Vitoria;ES;Feminino;17/10/2024
100;Bianca Aragão;agathamendes@barros.com;35;Sao Jose dos Campos;SP;Masculino;03/06/2023
101;Kevin da Mota;unogueira@monteiro.org;44;Sorocaba;SP;Masculino;08/09/2022
102;Dra. Yasmin Taboao;zmendes@souza.org;65;Aracaju;SE;Feminino;28/02/2023
103;Alexandre Silva;juanazevedo@bol.com.br;46;Ribeirao Preto;SP;Masculino;10/08/2021
104;Lavínia Araújo;ana-julia57@bol.com.br;32;Sorocaba;SP;Feminino;20/04/2021
105;Davi Lucca Monteiro;wmoreira@yahoo.com.br;19;Sao Paulo;SP;Feminino;26/12/2024
106;Julia Correia;ana-lauramoraes@uol.com.br;65;Sorocaba;SP;Masculino;12/09/2022
107;Otávio Souza;iangoncalves@yahoo.com.br;65;Sao Jose dos Campos;SP;Masculino;24/07/2023
108;Bruna Vieira;evelyn48@gmail.com;69;Guarulhos;SP;Masculino;04/06/2020
109;Dra. Yasmin Taboao;zmendes@souza.org;65;Belo Horizonte;MG;Feminino;18/11/2024
110;Srta. Rebeca Nunes;correiabreno@porto.br;28;Sao Paulo;SP;Masculino;26/05/2023
111;Marina Cunha;danilonogueira@fogaca.com;65;Salvador;BA;Feminino;08/07/2020
112;Valentina Duarte;fmendes@pereira.net;52;Santos;SP;Feminino;11/12/2023
113;Maria Sophia Vieira;lfarias@hotmail.com;56;Guarulhos;SP;Feminino;07/09/2022
114;Caio Rocha;rporto@uol.com.br;40;Sao Bernardo do Campo;SP;Masculino;25/08/2024
115;Valentina Duarte;fmendes@pereira.net;52;Ribeirao Preto;SP;Masculino;11/09/2024
116;Julia Nunes;freitasalice@gmail.com;68;Porto Alegre;RS;Feminino;29/06/2021
117;Sr. Emanuel da Conceição;renan57@da.net;18;Sao Luis;MA;Masculino;10/02/2020
118;Maria Duarte;miguelsilveira@uol.com.br;25;Sao Luis;MA;Masculino;02/11/2020
119;Caio Rocha;rporto@uol.com.br;40;Santos;SP;Masculino;31/07/2022
120;Rafael Rodrigues;icunha@da.com;21;Campinas;SP;Feminino;03/12/2020
121;Rafael Rodrigues;icunha@da.com;21;Balneario Camboriu;SC;Feminino;30/08/2023
122;Vicente Duarte;stephanyda-costa@carvalho.com;66;Sao Bernardo do Campo;SP;Masculino;03/01/2023
123;Pedro Henrique Nogueira;da-cruznatalia@melo.com;26;Balneario Camboriu;SC;Feminino;10/08/2022
124;Lavínia Araújo;ana-julia57@bol.com.br;32;Brasilia;DF;Masculino;05/10/2020
125;Leonardo da Rosa;tmendes@santos.br;52;Blumenau;SC;Masculino;14/04/2023
126;Maria Alice Rocha;gustavo79@bol.com.br;59;Sao Jose dos Campos;SP;Masculino;14/06/2022
127;Thomas Barbosa;qpires@uol.com.br;26;Florianopolis;SC;Masculino;12/08/2024
128;Pietra Sales;usilveira@ig.com.br;45;Sao Bernardo do Campo;SP;Feminino;29/09/2020
129;Lucca Dias;jsilva@bol.com.br;56;Sao Luis;MA;Feminino;16/04/2022
130;Lorenzo Mendes;matheus98@uol.com.br;62;Londrina;PR;Feminino;11/09/2021
131;Vicente Duarte;stephanyda-costa@carvalho.com;66;Jundiai;SP;Masculino;01/08/2024
132;Heloísa Oliveira;bruno03@gmail.com;19;Campinas;SP;Masculino;11/05/2022
133;Leandro Nogueira;ibarros@alves.com;25;Balneario Camboriu;SC;Masculino;11/12/2024
134;Luna Gomes;fsantos@bol.com.br;62;Curitiba;PR;Feminino;19/07/2022
135;Valentina Duarte;fmendes@pereira.net;52;Aracaju;SE;Masculino;15/10/2020
136;Sr. Diego Porto;nunesdaniel@uol.com.br;25;Uberlandia;MG;Feminino;24/12/2021
137;João Vitor Monteiro;das-nevesmelissa@correia.org;40;Rio de Janeiro;RJ;Feminino;11/06/2022
138;Leonardo Pereira;mouranathan@mendes.br;36;Fortaleza;CE;Feminino;28/09/2020
139;Joaquim Ferreira;leonardo25@hotmail.com;57;Uberlandia;MG;Feminino;25/12/2022
140;Luigi Lopes;santosalice@dias.br;28;Uberlandia;MG;Feminino;27/04/2021
141;Rafael Rodrigues;icunha@da.com;21;Campo Grande;MS;Feminino;24/07/2022
142;Bruna Vieira;evelyn48@gmail.com;69;Blumenau;SC;Masculino;04/09/2020
143;João Vitor Monteiro;das-nevesmelissa@correia.org;40;Belem;PA;Masculino;04/06/2020
144;Ryan Pires;faraujo@castro.br;38;Uberlandia;MG;Feminino;06/12/2022
145;Júlia Vieira;carlos-eduardocunha@santos.com;23;Palmas;TO;Feminino;29/03/2021
146;Sofia Rocha;icardoso@goncalves.net;38;Sao Bernardo do Campo;SP;Masculino;19/07/2020
147;Maria Sophia Vieira;lfarias@hotmail.com;56;Niteroi;RJ;Feminino;10/08/2024
148;Pedro Henrique Nogueira;da-cruznatalia@melo.com;26;Sao Paulo;SP;Feminino;03/05/2020
149;Eduardo Campos;joao-gabriel32@ferreira.net;40;Ribeirao Preto;SP;Masculino;01/01/2020
150;Bernardo da Luz;laurafreitas@da.com;43;Campinas;SP;Feminino;25/08/2022
151;Davi Lucca Ramos;dgomes@hotmail.com;67;Belo Horizonte;MG;Feminino;17/11/2024
152;Marina Cunha;danilonogueira@fogaca.com;65;Sao Bernardo do Campo;SP;Feminino;04/05/2022
153;Bernardo da Rocha;dpires@bol.com.br;36;Fortaleza;CE;Masculino;01/10/2021
154;Julia Correia;ana-lauramoraes@uol.com.br;65;Recife;PE;Masculino;09/07/2020
155;Eduardo Campos;joao-gabriel32@ferreira.net;40;Ribeirao Preto;SP;Masculino;21/05/2024
156;Stephany Souza;vbarros@viana.br;70;Porto Alegre;RS;Feminino;30/05/2021
157;Enzo Silveira;bmoura@ferreira.com;69;Sao Jose dos Campos;SP;Feminino;17/03/2021
158;Ana Julia Alves;omendes@porto.br;41;Niteroi;RJ;Masculino;22/05/2020
159;Julia Nunes;freitasalice@gmail.com;68;Vitoria;ES;Feminino;29/04/2023
160;Dra. Nina Cunha;da-mataantonio@ig.com.br;62;Sao Luis;MA;Feminino;16/06/2021
161;Miguel Porto;eloah69@nascimento.org;51;Balneario Camboriu;SC;Feminino;14/08/2020
162;Dra. Nina Cunha;da-mataantonio@ig.com.br;62;Balneario Camboriu;SC;Feminino;29/08/2023
163;Srta. Eloah Melo;raragao@da.net;26;Vitoria;ES;Feminino;10/07/2024
164;Eduardo Barros;theonunes@gmail.com;36;Goiania;GO;Masculino;06/08/2022
165;Leandro Nogueira;ibarros@alves.com;25;Sao Bernardo do Campo;SP;Feminino;18/08/2023
166;Julia Correia;ana-lauramoraes@uol.com.br;65;Rio de Janeiro;RJ;Masculino;04/08/2024
167;Davi da Mata;davi-lucas81@ferreira.com;23;Belo Horizonte;MG;Feminino;04/04/2021
168;Davi Lucca Monteiro;wmoreira@yahoo.com.br;19;Sao Jose dos Campos;SP;Masculino;25/11/2023
169;Lorenzo da Cruz;da-cunhamaria-julia@hotmail.com;59;Natal;RN;Feminino;04/07/2021
170;Dra. Isis Cardoso;castrokaique@castro.br;62;Rio de Janeiro;RJ;Masculino;27/01/2021
171;Ian Almeida;guilherme45@yahoo.com.br;57;Rio de Janeiro;RJ;Feminino;22/11/2024
172;Srta. Rebeca Nunes;correiabreno@porto.br;28;Uberlandia;MG;Masculino;24/04/2022
173;Mariana Costela;fda-paz@ig.com.br;41;Florianopolis;SC;Feminino;15/05/2023
174;Joaquim Ferreira;leonardo25@hotmail.com;57;Sao Jose dos Campos;SP;Masculino;28/07/2020
175;Leonardo da Rosa;tmendes@santos.br;52;Balneario Camboriu;SC;Feminino;12/02/2023
176;Kamilly Souza;cunhahenrique@hotmail.com;56;Niteroi;RJ;Masculino;26/10/2024
177;Stephany Souza;vbarros@viana.br;70;Sao Paulo;SP;Masculino;07/10/2021
178;Otávio Souza;iangoncalves@yahoo.com.br;65;Teresina;PI;Feminino;28/06/2023
179;Luna Gomes;fsantos@bol.com.br;62;Rio de Janeiro;RJ;Feminino;06/08/2020
180;Maria Sophia Costa;fernando44@novaes.br;62;Santos;SP;Masculino;10/02/2021
181;Amanda Alves;portoclarice@gmail.com;36;Balneario Camboriu;SC;Feminino;06/01/2024
182;Leonardo da Rosa;tmendes@santos.br;52;Fortaleza;CE;Masculino;14/06/2024
183;Leonardo da Rosa;tmendes@santos.br;52;Balneario Camboriu;SC;Masculino;09/10/2023
184;Leonardo Pereira;mouranathan@mendes.br;36;Brasilia;DF;Masculino;06/06/2022
185;Gabriel Lopes;nathan70@das.net;54;Belem;PA;Feminino;11/07/2021
186;Ana Vitória Peixoto;henriquecaldeira@das.org;32;Natal;RN;Masculino;03/07/2021
187;Luna Gomes;fsantos@bol.com.br;62;Santo Andre;SP;Masculino;21/05/2020
188;Vitor da Cruz;fernandorezende@yahoo.com.br;51;Vitoria;ES;Feminino;03/09/2021
189;Calebe Nunes;silvadavi-lucas@bol.com.br;70;Salvador;BA;Feminino;15/05/2021
190;Dra. Yasmin Taboao;zmendes@souza.org;65;Osasco;SP;Feminino;19/04/2022
191;Luna Gomes;fsantos@bol.com.br;62;Fortaleza;CE;Feminino;02/12/2021
192;Rafaela Moraes;alexandregomes@alves.com;55;Aracaju;SE;Masculino;19/04/2024
193;Maria Sophia Vieira;lfarias@hotmail.com;56;Belem;PA;Masculino;09/08/2024
194;Davi Lucca Ramos;dgomes@hotmail.com;67;Maceio;AL;Masculino;14/04/2024
195;Luna Gomes;fsantos@bol.com.br;62;Niteroi;RJ;Masculino;10/03/2024
196;Enzo Silveira;bmoura@ferreira.com;69;Porto Alegre;RS;Feminino;18/08/2021
197;Sofia Rocha;icardoso@goncalves.net;38;Fortaleza;CE;Masculino;07/10/2020
198;Joana Alves;maitemendes@hotmail.com;67;Maceio;AL;Masculino;27/02/2021
199;Pietra Sales;usilveira@ig.com.br;45;Londrina;PR;Feminino;05/05/2022
200;Davi Lucca Ramos;dgomes@hotmail.com;67;Belo Horizonte;MG;Masculino;26/09/2020
201;Marina Cunha;danilonogueira@fogaca.com;65;Campo Grande;MS;Masculino;02/06/2020
202;Luna Gomes;fsantos@bol.com.br;62;Jundiai;SP;Masculino;05/09/2021
203;Sr. Diego Porto;nunesdaniel@uol.com.br;25;Teresina;PI;Masculino;16/10/2024
204;Rafaela Moraes;alexandregomes@alves.com;55;Santos;SP;Masculino;23/10/2021
205;Ana Julia Alves;omendes@porto.br;41;Belo Horizonte;MG;Masculino;23/03/2020
206;Leonardo Pereira;mouranathan@mendes.br;36;Teresina;PI;Feminino;03/07/2024
207;Bianca Aragão;agathamendes@barros.com;35;Campo Grande;MS;Feminino;04/08/2022
208;Bernardo da Rocha;dpires@bol.com.br;36;Balneario Camboriu;SC;Masculino;17/06/2022
209;Mariana Costela;fda-paz@ig.com.br;41;Curitiba;PR;Masculino;20/12/2023
210;Ian Almeida;guilherme45@yahoo.com.br;57;Niteroi;RJ;Feminino;22/07/2023
211;Dra. Nina Cunha;da-mataantonio@ig.com.br;62;Sao Bernardo do Campo;SP;Masculino;02/10/2024
212;Valentina Duarte;fmendes@pereira.net;52;Joao Pessoa;PB;Masculino;10/10/2020
213;Miguel Porto;eloah69@nascimento.org;51;Sao Paulo;SP;Masculino;06/09/2022
214;Luna Gomes;fsantos@bol.com.br;62;Belem;PA;Feminino;21/06/2020
215;Juliana Porto;da-conceicaopietra@uol.com.br;29;Uberlandia;MG;Masculino;12/09/2023
216;Miguel Porto;eloah69@nascimento.org;51;Palmas;TO;Feminino;07/10/2024
217;Lucca Dias;jsilva@bol.com.br;56;Florianopolis;SC;Masculino;22/12/2022
218;Bernardo Farias;zpires@da.com;49;Joinville;SC;Feminino;01/01/2023
219;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Blumenau;SC;Feminino;01/02/2022
220;Sofia Rocha;icardoso@goncalves.net;38;Sorocaba;SP;Masculino;17/07/2024
221;Larissa Gomes;cauasilva@da.net;68;Curitiba;PR;Feminino;30/10/2023
222;Maria Duarte;miguelsilveira@uol.com.br;25;Maceio;AL;Masculino;24/09/2021
223;Mariana Costela;fda-paz@ig.com.br;41;Santos;SP;Feminino;11/03/2024
224;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Rio de Janeiro;RJ;Masculino;25/02/2022
225;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Sao Paulo;SP;Masculino;31/07/2022
226;Calebe Nunes;silvadavi-lucas@bol.com.br;70;Goiania;GO;Feminino;08/10/2022
227;Gabriela da Paz;felipe98@aragao.net;33;Salvador;BA;Masculino;01/02/2021
228;Luiz Fernando Carvalho;joao-guilhermemoraes@hotmail.com;55;Sao Jose dos Campos;SP;Masculino;17/02/2023
229;Dra. Nina Cunha;da-mataantonio@ig.com.br;62;Balneario Camboriu;SC;Feminino;22/07/2022
230;Rafaela Moraes;alexandregomes@alves.com;55;Porto Alegre;RS;Masculino;31/12/2023
231;Maria Sophia Vieira;lfarias@hotmail.com;56;Sorocaba;SP;Masculino;06/11/2021
232;Sr. Bernardo Pereira;yfernandes@yahoo.com.br;48;Teresina;PI;Feminino;24/07/2022
233;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Maceio;AL;Feminino;09/04/2021
234;Pietro Oliveira;raquel90@das.br;19;Belo Horizonte;MG;Masculino;12/10/2020
235;Leonardo Pereira;mouranathan@mendes.br;36;Campo Grande;MS;Masculino;21/09/2020
236;Eduardo Campos;joao-gabriel32@ferreira.net;40;Vitoria;ES;Feminino;15/11/2020
237;Ian Almeida;guilherme45@yahoo.com.br;57;Niteroi;RJ;Feminino;03/11/2021
238;Joana Alves;maitemendes@hotmail.com;67;Vitoria;ES;Masculino;31/10/2023
239;Ian Almeida;guilherme45@yahoo.com.br;57;Belem;PA;Feminino;30/03/2022
240;João Miguel Mendes;da-costajoao@hotmail.com;46;Recife;PE;Masculino;29/03/2020
241;Paulo Mendes;da-conceicaomaite@uol.com.br;27;Jundiai;SP;Masculino;04/08/2024
242;Vitor da Cruz;fernandorezende@yahoo.com.br;51;Santo Andre;SP;Masculino;11/05/2023
243;Larissa Gomes;cauasilva@da.net;68;Campo Grande;MS;Masculino;31/03/2022
244;Marcos Vinicius Barbosa;ana-claracampos@bol.com.br;69;Sorocaba;SP;Masculino;28/10/2024
245;Gabrielly Cunha;davi-luccadas-neves@bol.com.br;42;Palmas;TO;Feminino;27/09/2022
246;Bianca Aragão;agathamendes@barros.com;35;Sorocaba;SP;Feminino;29/11/2020
247;Luiz Felipe Almeida;pedro-henriquelima@ig.com.br;48;Palmas;TO;Feminino;09/08/2020
248;Dra. Lavínia da Paz;henrique10@yahoo.com.br;23;Londrina;PR;Feminino;10/02/2020
249;Joana Alves;maitemendes@hotmail.com;67;Joao Pessoa;PB;Masculino;27/09/2024
250;Joaquim Ferreira;leonardo25@hotmail.com;57;Joao Pessoa;PB;Masculino;08/03/2020
251;Sr. Emanuel da Conceição;renan57@da.net;18;Rio de Janeiro;RJ;Masculino;14/09/2022
252;Dr. Breno Porto;da-luzemilly@bol.com.br;20;Sorocaba;SP;Masculino;04/12/2024
253;Rafaela Moraes;alexandregomes@alves.com;55;Maceio;AL;Feminino;28/05/2021
254;Thomas Barbosa;qpires@uol.com.br;26;Jundiai;SP;Masculino;18/07/2024
255;Mariana Costela;fda-paz@ig.com.br;41;Niteroi;RJ;Masculino;03/07/2024
256;Joana Alves;maitemendes@hotmail.com;67;Brasilia;DF;Feminino;09/06/2024
257;Isabelly Santos;ferreirayago@yahoo.com.br;48;Niteroi;RJ;Feminino;13/07/2024
258;Gustavo Henrique Azevedo;ubarros@gmail.com;62;Guarulhos;SP;Feminino;24/02/2023
259;Sofia Rocha;icardoso@goncalves.net;38;Cuiaba;MT;Feminino;02/07/2023
260;Vitória Carvalho;nunescaio@gmail.com;55;Campo Grande;MS;Masculino;25/11/2021
261;Mariana Costela;fda-paz@ig.com.br;41;Recife;PE;Masculino;05/11/2022
262;Lorenzo da Cruz;da-cunhamaria-julia@hotmail.com;59;Curitiba;PR;Feminino;21/04/2021
263;Sr. Bernardo Pereira;yfernandes@yahoo.com.br;48;Belo Horizonte;MG;Masculino;21/12/2022
264;Eduardo Campos;joao-gabriel32@ferreira.net;40;Natal;RN;Masculino;30/05/2022
265;Bernardo da Luz;mcarvalho@uol.com.br;51;Niteroi;RJ;Masculino;07/03/2021
266;Sr. Bernardo Pereira;yfernandes@yahoo.com.br;48;Goiania;GO;Feminino;20/08/2024
267;Vitória Carvalho;nunescaio@gmail.com;55;Aracaju;SE;Masculino;24/09/2020
268;Dra. Nina Cunha;da-mataantonio@ig.com.br;62;Aracaju;SE;Feminino;24/11/2022
269;Srta. Rebeca Nunes;correiabreno@porto.br;28;Blumenau;SC;Masculino;17/02/2022
270;Miguel Porto;eloah69@nascimento.org;51;Santo Andre;SP;Masculino;18/05/2024
271;Vicente Duarte;stephanyda-costa@carvalho.com;66;Santo Andre;SP;Masculino;08/05/2021
272;Dra. Ana Beatriz Freitas;heitor86@ig.com.br;23;Recife;PE;Feminino;04/05/2024
273;Bernardo Farias;zpires@da.com;49;Ribeirao Preto;SP;Masculino;01/02/2024
274;Bianca Viana;mendessophia@bol.com.br;41;Ribeirao Preto;SP;Feminino;25/11/2024
275;Maria Sophia Vieira;lfarias@hotmail.com;56;Osasco;SP;Feminino;22/10/2021
276;Sr. Emanuel da Conceição;renan57@da.net;18;Cuiaba;MT;Feminino;10/09/2023
277;Calebe Nunes;silvadavi-lucas@bol.com.br;70;Blumenau;SC;Masculino;20/08/2023
278;Maria Sophia Costa;fernando44@novaes.br;62;Niteroi;RJ;Masculino;23/07/2023
279;Dra. Yasmin Taboao;zmendes@souza.org;65;Uberlandia;MG;Masculino;03/09/2024
280;Maria Sophia Cunha;nascimentoalexia@monteiro.br;57;Niteroi;RJ;Masculino;09/10/2022
281;Leandro Nogueira;ibarros@alves.com;25;Salvador;BA;Feminino;09/05/2023
282;Isadora Correia;gabrielaTaboao@duarte.com;44;Teresina;PI;Feminino;08/01/2024
283;Eduardo Barros;theonunes@gmail.com;36;Brasilia;DF;Feminino;09/09/2023
284;Stephany Souza;vbarros@viana.br;70;Sorocaba;SP;Masculino;24/11/2022
